cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Avalon,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Highball glass,,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,273,Pisang Ambon,218,Apple juice,24,Lemon juice,161,Lemonade,165,,null,3 parts,1 part,6 parts,1 1/2 part,"
","
"
Jamaica Kiss,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Coffee liqueur,83,Light rum,168,Ice,145,Milk,185,,null,,null,1 shot,1 shot Jamaican," cubes
","
","
","
"
Absolut limousine,Alcoholic,Other,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,Absolut Citron,4,Lime juice,171,Ice,145,Tonic water,265,,null,,null,2/3,1/3,Fill with,Top it up with,,
Adam Sunrise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Vodka,273,Lemonade,165,Water,274,Sugar,254,,null,,null,1/2,1/2 can,1/2,10 tsp,,
50/50,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Vanilla vodka,271,Grand Marnier,132,Orange juice,195,,null,,null,,null,2 1/2 oz,1 splash,Fill with,,,
Bramble,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,New Era Drinks,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Gin,125,lemon juice,161,Sugar syrup,255,Creme de Mure,99,,null,,null,4 cl,1.5 cl,1 cl,1.5 cl,,
Space Odyssey,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,151 proof rum,1,Malibu rum,176,Pineapple juice,216,Orange juice,195,Grenadine,138,Cherries,63,1 shot Bacardi,1 shot,1 shot,"
","
",
Arctic Fish,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Beer pilsner,,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",Vodka,273,Grape soda,134,Orange juice,195,Ice,145,Candy,53,,null,1/3 part,1/3 part,1/3 part,lots,1 dash,
Blind Russian,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins glass,,Fill glass with ice. Add all liquers. Add milk. shake.,Bailey's irish cream,30,Godiva liqueur,129,Kahlua,153,Butterscotch schnapps,50,Milk,185,,null,3/4 oz,3/4 oz,3/4 oz,1/2 oz," to fill
","
"
Zima Blaster,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1wifuv1485619797.jpg,Hurricane glass,,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",Zima,288,Chambord raspberry liqueur,61,,null,,null,,null,,null,12 oz,3 oz,,,,
Zipperhead,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,Whiskey sour glass,,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",Chambord raspberry liqueur,61,Vodka,273,Soda water,240,,null,,null,,null,1 shot,1 shot,Fill with,,,
Kool-Aid Slammer,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Kool-Aid,157,Vodka,273,,null,,null,,null,,null,1/2 oz Grape,1/2 oz,,,,
Cafe Savoy,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Coffee,81,Milk,185,Triple sec,266,Brandy,47,,null,,null,"
",1/2 oz,1/2 oz,,,
Black & Tan,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint glass,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,Ale,10,Guinness stout,139,,null,,null,,null,,null,1 part Bass pale,1 part,,,,
Tequila Surprise,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Shot glass,,Fill shot glass with Tequila. Add drops of Tobasco sauce.,Tequila,262,Tabasco sauce,259,,null,,null,,null,,null,full glass,About 8 drops,,,,
Cuba Libra,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Highball glass,,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Dark rum,104,Lime,170,Coca-Cola,75,Ice,145,,null,,null,1-2 shot,Squeeze,Fill with,"
","
","
"
Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/Coupette glass,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",Amaretto,12,Sweet and sour,257,Midori melon liqueur,184,Pineapple juice,216,,null,,null,"
","
",,,,
Moranguito,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Shot glass,,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",Absinthe,3,Tequila,262,Grenadine,138,,null,,null,,null,2/5,2/5,1/5,,,
Miami Vice,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Cocktail glass,,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",151 proof rum,1,Pina colada mix,214,Daiquiri mix,102,,null,,null,,null,5 oz Bacardi,frozen,frozen,,,
Zinger,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg,Highball glass,,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,Peachtree schnapps,209,Surge,256,,null,,null,,null,,null,4 shots,4 shots,,,,
Gin Rickey,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Gin,125,Grenadine,138,lemon,160,Soda Water,240,Lime,170,,null,2 oz,1 tsp,Juice of 1/2,Top up with,Garnish,"
"
Irish Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Contemporary Classics,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Irish whiskey,148,Coffee,81,Sugar,254,Whipped cream,275,,null,,null,1 1/2 oz,8 oz,1 tsp,1 tblsp,,
Drinking Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Coffee mug,,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",Heavy cream,141,Milk,185,Cinnamon,72,Vanilla,268,Chocolate,67,Whipped cream,275,2 oz,6-8 oz,1 stick,1,2 oz finely chopped dark,Fresh
